
2022/11/29 (00:27:20) | ===> btop++ v.1.2.13
2022/11/29 (00:27:20) | ERROR: Stall in Runner thread, restarting!
2022/11/29 (00:28:04) | ERROR: Stall in Runner thread, restarting!

2022/12/19 (17:47:23) | ===> btop++ v.1.2.13
2022/12/19 (17:47:23) | ERROR: Stall in Runner thread, restarting!

2022/12/19 (17:54:56) | ===> btop++ v.1.2.13
2022/12/19 (17:54:56) | ERROR: Stall in Runner thread, restarting!

2022/12/19 (17:59:19) | ===> btop++ v.1.2.13
2022/12/19 (17:59:19) | ERROR: Stall in Runner thread, restarting!
